ticks,open,high,low,close,date_time
1.63642E+12,86.69,87.72,84.33,84.68,2021/11/9
1.6365E+12,84.68,87.17,84.23,86.36,2021/11/10
1.63659E+12,86.36,86.5,83.79,85.23,2021/11/11
1.63668E+12,85.23,89.09,84.14,88.44,2021/11/12
1.63676E+12,88.44,88.44,85.25,87.74,2021/11/13
1.63685E+12,87.74,88.15,86.26,87.22,2021/11/14
1.63693E+12,87.22,87.67,84.6,85.04,2021/11/15
1.63702E+12,85.04,90.35,85.04,87.28,2021/11/16
1.63711E+12,87.28,90.05,86.37,89.88,2021/11/17
1.63719E+12,89.88,93.25,87.15,90.12,2021/11/18
1.63728E+12,90.12,91.85,85.39,85.78,2021/11/19
1.63737E+12,85.78,86.81,84.9,85.44,2021/11/20
1.63745E+12,85.44,86.91,83.67,85.94,2021/11/21
1.63754E+12,85.94,90.47,85.18,88.98,2021/11/22
1.63763E+12,88.98,90.19,86.18,89.91,2021/11/23
1.63771E+12,89.91,91.47,89.26,90.42,2021/11/24
1.6378E+12,90.42,90.42,86.05,86.52,2021/11/25
1.63788E+12,86.52,89.93,84.06,86.06,2021/11/26
1.63797E+12,86.06,86.06,83.03,83.72,2021/11/27
1.63806E+12,83.72,86.59,81.65,86.32,2021/11/28
1.63814E+12,86.32,86.52,81.95,82.85,2021/11/29
1.63823E+12,82.85,86.14,82.74,84.08,2021/11/30
1.63832E+12,84.08,84.4,81.56,83.64,2021/12/1
1.6384E+12,83.63,85.27,83.07,85.26,2021/12/2
1.63849E+12,85.26,85.51,81.21,84.55,2021/12/3
1.63858E+12,84.55,95.82,83.84,87.29,2021/12/4
1.63866E+12,87.29,90.56,86.98,89.39,2021/12/5
1.63875E+12,89.39,89.89,86.63,86.84,2021/12/6
1.63884E+12,86.84,88.62,85.57,86,2021/12/7
1.63892E+12,86,88.43,85.65,87.16,2021/12/8
1.63901E+12,88.39,90.52,88.34,90.3,2021/12/9
1.63909E+12,90.3,90.95,89.19,89.98,2021/12/10
1.63918E+12,89.98,91.18,88.47,88.72,2021/12/11
1.63927E+12,88.72,93.38,88.55,92.25,2021/12/12
1.63935E+12,92.25,92.41,89.52,90.29,2021/12/13
1.63944E+12,90.29,93.23,88.74,92.34,2021/12/14
1.63953E+12,92.34,92.38,89.19,89.34,2021/12/15
1.63961E+12,89.34,89.42,85.88,86.78,2021/12/16
1.6397E+12,86.78,87.26,84.57,85.34,2021/12/17
1.63979E+12,85.34,87.95,83.81,87.43,2021/12/18
1.63987E+12,87.43,88.23,84.56,87.83,2021/12/19
1.63996E+12,87.83,88.53,86.56,87.31,2021/12/20
1.64004E+12,87.31,88.72,85.06,86.04,2021/12/21
1.64013E+12,86.04,86.62,82.63,82.99,2021/12/22
1.64022E+12,82.99,83.5,80.96,82.99,2021/12/23
1.6403E+12,82.99,83.69,77.14,82.57,2021/12/24
1.64039E+12,82.57,82.71,77.85,81.08,2021/12/25
1.64048E+12,81.08,82.01,78.81,80.26,2021/12/26
1.64056E+12,80.26,83.39,78.51,83.29,2021/12/27
1.64065E+12,83.29,83.29,76.7,76.7,2021/12/28
1.64074E+12,76.7,80.9,76.5,80.73,2021/12/29
1.64082E+12,80.74,81.81,76.61,80.68,2021/12/30
1.64091E+12,80.68,82.64,74.65,75.51,2021/12/31
1.641E+12,75.51,75.51,69.68,70.91,2022/1/1
1.64108E+12,70.91,72.67,69.07,72.06,2022/1/2
1.64117E+12,72.06,73.37,70.32,71.94,2022/1/3
1.64125E+12,71.94,73.49,70.16,72.52,2022/1/4
1.64134E+12,72.64,78.33,70.95,75.64,2022/1/5
1.64143E+12,75.64,76.17,72.22,73.19,2022/1/6
1.64151E+12,73.19,75.22,72.07,73.86,2022/1/7
1.6416E+12,73.86,73.92,70.97,71.56,2022/1/8
1.64169E+12,71.56,73.72,70.59,73.5,2022/1/9
1.64177E+12,73.5,75.83,72.63,74.1,2022/1/10
1.64186E+12,74.1,77.27,74.08,75.37,2022/1/11
1.64195E+12,75.37,75.94,70.71,71.81,2022/1/12
1.64203E+12,71.81,72.13,66.4,67.51,2022/1/13
1.64212E+12,67.51,67.62,64.15,65.13,2022/1/14
1.6422E+12,64.19,64.22,62.51,62.95,2022/1/15
1.64229E+12,62.95,65.58,61.86,62.22,2022/1/16
1.64238E+12,62.23,66.13,61.91,65.23,2022/1/17
1.64246E+12,65.23,67.38,63.8,67.27,2022/1/18
1.64255E+12,67.27,67.69,64.99,65.96,2022/1/19
1.64264E+12,65.96,65.99,59.41,65.24,2022/1/20
1.64272E+12,65.24,78.58,63.03,77.8,2022/1/21
1.64281E+12,77.79,82.31,72.52,81,2022/1/22
1.6429E+12,81,81,76.56,77.29,2022/1/23
1.64298E+12,77.29,87.93,76.25,78.59,2022/1/24
1.64307E+12,78.59,82.57,77.64,81.26,2022/1/25
1.64316E+12,81.26,82.26,78.66,80.39,2022/1/26
1.64324E+12,80.39,83.23,77.38,80.14,2022/1/27
1.64333E+12,80.14,80.28,73.49,74.77,2022/1/28
1.64341E+12,74.77,75.22,73.22,75.18,2022/1/29
1.6435E+12,75.18,75.25,71.79,74.32,2022/1/30
1.64359E+12,74.32,74.52,70.16,70.99,2022/1/31
1.64367E+12,70.99,71.84,69.59,71.81,2022/2/1
1.64376E+12,71.81,75.02,71.06,75,2022/2/2
1.64385E+12,75,75.03,72.53,74.14,2022/2/3
1.64393E+12,74.14,74.39,68.89,70.14,2022/2/4
1.64402E+12,70.15,71.9,62.85,67.37,2022/2/5
1.64411E+12,67.37,70.87,67.09,70.69,2022/2/6
1.64419E+12,70.69,72.27,69.14,69.18,2022/2/7
1.64428E+12,69.18,71.78,68.73,70.27,2022/2/8
1.64436E+12,70.27,71.02,69.64,69.81,2022/2/9
1.64445E+12,69.81,70.87,68.07,70.81,2022/2/10
1.64454E+12,70.81,73.37,66.71,72.34,2022/2/11
1.64462E+12,72.34,73.34,71.32,71.32,2022/2/12
1.64471E+12,71.32,73.05,70.52,73.05,2022/2/13
1.6448E+12,73.05,73.45,70.83,72.16,2022/2/14
1.64488E+12,72.16,72.26,69.41,70.59,2022/2/15
1.64497E+12,70.59,70.84,67.59,68.07,2022/2/16
1.64506E+12,68.07,72.84,65.15,71.54,2022/2/17
1.64514E+12,71.54,72.07,66.98,68.83,2022/2/18
1.64523E+12,68.83,69.01,67.36,67.72,2022/2/19
1.64532E+12,67.72,74.15,66.7,73.92,2022/2/20
1.6454E+12,73.92,78.19,70.08,77.69,2022/2/21
1.64549E+12,77.69,80.06,74.15,75.22,2022/2/22
1.64557E+12,71.56,74.3,71.25,73.78,2022/2/23
1.64566E+12,73.78,89.74,73.58,79.88,2022/2/24
1.64575E+12,79.88,79.88,69.99,71.44,2022/2/25
1.64583E+12,71.44,72.52,69.93,72.49,2022/2/26
1.64592E+12,72.49,81.07,72.29,80.65,2022/2/27
1.64601E+12,80.65,81.2,75.09,77.47,2022/2/28
1.64609E+12,77.47,78.05,74.66,76.99,2022/3/1
1.64618E+12,76.99,77.83,73.62,73.8,2022/3/2
1.64627E+12,73.79,76.27,73.1,73.7,2022/3/3
1.64635E+12,73.7,80.98,72.11,79.28,2022/3/4
1.64644E+12,79.28,79.28,76.65,77.39,2022/3/5
1.64652E+12,77.39,79.72,76.62,79.72,2022/3/6
1.64661E+12,79.72,80.7,78.14,80.7,2022/3/7
1.6467E+12,80.7,82.53,79.94,80.93,2022/3/8
1.64678E+12,80.93,81.28,78.69,81.01,2022/3/9
1.64687E+12,81.01,83.87,80.13,80.13,2022/3/10
1.64696E+12,80.13,80.84,77.41,79.73,2022/3/11
1.64704E+12,79.73,81.36,78.69,81.13,2022/3/12
1.64713E+12,81.13,83.05,80.34,82.47,2022/3/13
1.64722E+12,82.47,82.96,81.57,82.43,2022/3/14
1.6473E+12,82.43,83.74,80.69,81.98,2022/3/15
1.64739E+12,81.98,83.93,80,81.79,2022/3/16
1.64748E+12,81.79,82.02,75.05,75.18,2022/3/17
1.64756E+12,75.18,76.12,70.75,70.75,2022/3/18
1.64765E+12,70.75,71.66,69.74,71.66,2022/3/19
1.64773E+12,71.66,72.9,71.3,72.67,2022/3/20
1.64782E+12,72.67,73.75,71.33,71.8,2022/3/21
1.64791E+12,71.8,74.24,70.89,71.19,2022/3/22
1.64799E+12,71.19,71.4,69.5,69.58,2022/3/23
1.64808E+12,69.58,69.93,65.43,65.47,2022/3/24
1.64817E+12,65.47,65.92,61.98,62.41,2022/3/25
1.64825E+12,62.41,66.64,61.55,66.62,2022/3/26
1.64834E+12,66.62,70.33,65.75,68.62,2022/3/27
1.64843E+12,68.62,69,62.82,63.04,2022/3/28
1.64851E+12,63.04,63.08,61.6,62.04,2022/3/29
1.6486E+12,62.04,62.71,60.9,62.44,2022/3/30
1.64868E+12,61.7,64.11,61.7,64.11,2022/3/31
1.64877E+12,64.11,64.35,58.86,59.54,2022/4/1
1.64886E+12,59.54,59.94,58.55,59.26,2022/4/2
1.64894E+12,59.26,59.47,58.16,59.47,2022/4/3
1.64903E+12,59.47,61.87,59.46,60.54,2022/4/4
1.64912E+12,60.54,62.9,60.1,62.88,2022/4/5
1.6492E+12,62.88,66.63,62.87,66.05,2022/4/6
1.64929E+12,66.05,67.1,61.69,61.74,2022/4/7
1.64938E+12,61.74,62.56,59.28,62.19,2022/4/8
1.64946E+12,62.19,62.19,59.19,59.72,2022/4/9
1.64955E+12,59.72,61.24,57,61.08,2022/4/10
1.64964E+12,61.08,68.6,60.08,68.28,2022/4/11
1.64972E+12,68.28,68.41,65.09,65.22,2022/4/12
1.64981E+12,65.22,66.38,63.38,63.61,2022/4/13
1.64989E+12,63.61,63.62,60.07,62.1,2022/4/14
1.64998E+12,62.1,62.1,59.54,60.4,2022/4/15
1.65007E+12,60.4,61.06,60.03,61.05,2022/4/16
1.65015E+12,61.05,63.85,60.96,63.59,2022/4/17
1.65024E+12,63.59,64.91,62.62,63.47,2022/4/18
1.65033E+12,63.47,63.48,61.31,62.46,2022/4/19
1.65041E+12,62.46,62.62,61.32,62.19,2022/4/20
1.6505E+12,62.19,63.94,60.64,63.51,2022/4/21
1.65059E+12,63.51,63.64,59.99,61.12,2022/4/22
1.65067E+12,61.12,61.84,59.91,61.34,2022/4/23
1.65076E+12,61.34,62.92,60.9,62.62,2022/4/24
1.65084E+12,62.62,66.38,62.62,65.57,2022/4/25
1.65093E+12,65.57,67.36,63.58,66.78,2022/4/26
1.65102E+12,64.91,66.48,64.48,65.09,2022/4/27
1.6511E+12,60.38,63.55,59.78,63,2022/4/28
1.65119E+12,63,63.18,57.99,60.54,2022/4/29
1.65128E+12,60.54,62.25,57.03,62.23,2022/4/30
1.65136E+12,62.23,62.68,59.06,62.44,2022/5/1
1.65145E+12,62.44,63.23,59.72,62.42,2022/5/2
1.65154E+12,62.42,64.92,60.23,64.92,2022/5/3
1.65162E+12,64.92,64.98,60.32,60.58,2022/5/4
1.65171E+12,60.58,66.25,58.72,63.13,2022/5/5
1.6518E+12,63.13,65.06,59.8,62.19,2022/5/6
1.65188E+12,62.19,66.32,60.8,64.87,2022/5/7
1.65197E+12,64.87,68.62,64.87,68.59,2022/5/8
1.65205E+12,68.59,85.99,68.33,84.91,2022/5/9
1.65214E+12,84.92,88.51,76.95,81.61,2022/5/10
1.65223E+12,81.61,109.04,79.65,101.25,2022/5/11
1.65231E+12,101.25,139.73,99.57,114.58,2022/5/12
1.6524E+12,114.58,115.12,91.7,99.66,2022/5/13
1.65249E+12,99.67,99.79,92.63,93.57,2022/5/14
1.65257E+12,93.57,96.31,91.79,92.34,2022/5/15
1.65266E+12,92.34,97.55,92.29,96.37,2022/5/16
1.65275E+12,96.37,96.39,88.6,91.46,2022/5/17
1.65283E+12,89.74,100.59,87.3,100.59,2022/5/18
1.65292E+12,100.59,100.95,91.05,91.11,2022/5/19
1.653E+12,91.11,93.33,83.02,88.56,2022/5/20
1.65309E+12,88.56,88.66,84.11,84.12,2022/5/21
1.65318E+12,84.12,84.95,82.16,82.49,2022/5/22
1.65326E+12,82.49,83.59,80.03,82.54,2022/5/23
1.65335E+12,82.54,84.5,80.65,82.27,2022/5/24
1.65344E+12,82.27,83.16,80.45,82.57,2022/5/25
1.65352E+12,82.57,90.14,80.25,81.63,2022/5/26
1.65361E+12,81.64,84.76,79.62,84.72,2022/5/27
1.6537E+12,84.72,84.78,80.7,80.91,2022/5/28
1.65378E+12,80.91,82.41,79.4,81.2,2022/5/29
1.65387E+12,81.2,81.42,72.12,75.39,2022/5/30
1.65396E+12,75.39,75.52,72.26,73.06,2022/5/31
1.65404E+12,73.06,76.81,71.89,74.75,2022/6/1
1.65413E+12,71.74,74.12,71.74,73.43,2022/6/2
1.65421E+12,73.43,74.3,70.84,71.33,2022/6/3
1.6543E+12,71.33,71.67,70.15,70.96,2022/6/4
1.65439E+12,70.96,72.04,69.44,72.04,2022/6/5
1.65447E+12,72.04,72.04,67.6,68.51,2022/6/6
1.65456E+12,68.51,73.49,68.51,71.51,2022/6/7
1.65465E+12,71.51,72.79,69.11,71.7,2022/6/8
1.65473E+12,71.7,72.62,70.51,72.57,2022/6/9
1.65482E+12,72.57,74.77,71.68,72.55,2022/6/10
1.65491E+12,72.55,75.58,71.11,75.05,2022/6/11
1.65499E+12,75.05,93.99,74.28,93.99,2022/6/12
1.65508E+12,93.99,107.5,92.78,106,2022/6/13
1.65516E+12,106,113.43,97.87,103.09,2022/6/14
1.65525E+12,103.09,142.02,89.15,89.15,2022/6/15
1.65534E+12,89.15,119.65,88.53,119.65,2022/6/16
1.65542E+12,119.65,121.89,105.53,108.67,2022/6/17
1.65551E+12,108.67,133.42,107.09,115.03,2022/6/18
1.6556E+12,115.03,118.45,108.86,109.97,2022/6/19
1.65568E+12,109.97,112.98,98.9,99.27,2022/6/20
1.65577E+12,99.27,99.52,93.8,97.96,2022/6/21
1.65586E+12,97.96,100.67,96.79,99.76,2022/6/22
1.65594E+12,99.76,99.84,91.29,91.46,2022/6/23
1.65603E+12,91.46,93.09,88.23,90.66,2022/6/24
1.65612E+12,90.66,90.75,86.65,86.66,2022/6/25
1.6562E+12,86.66,90.72,86.4,90.26,2022/6/26
1.65629E+12,90.26,91,87.5,89.09,2022/6/27
1.65637E+12,89.09,90.02,85.93,87.5,2022/6/28
1.65646E+12,87.5,91.54,86.17,91.37,2022/6/29
1.65655E+12,91.37,99.17,90.93,94.14,2022/6/30
1.65663E+12,94.14,95.49,90.28,92.97,2022/7/1
1.65672E+12,92.97,93.79,90.35,92.23,2022/7/2
1.65681E+12,92.23,94.21,91.1,92.07,2022/7/3
1.65689E+12,92.07,92.78,86.92,86.99,2022/7/4
1.65698E+12,86.99,87.51,84.43,86.08,2022/7/5
1.65707E+12,81.78,84.1,81.62,82.25,2022/7/6
1.65715E+12,82.25,82.97,80.73,81.35,2022/7/7
1.65724E+12,81.35,82.71,77.8,78.39,2022/7/8
1.65732E+12,78.39,78.98,72.73,73.55,2022/7/9
1.65741E+12,73.55,76.05,73.4,75.86,2022/7/10
1.6575E+12,75.86,80.67,75.5,80.52,2022/7/11
1.65758E+12,80.52,86.07,80.4,85.86,2022/7/12
1.65767E+12,85.86,86.43,80.89,80.89,2022/7/13
1.65776E+12,80.89,84.68,79.51,81.35,2022/7/14
1.65784E+12,81.35,81.45,77.99,78.7,2022/7/15
1.65793E+12,78.7,82.73,77.01,81.99,2022/7/16
1.65802E+12,81.99,83.41,80.68,81.29,2022/7/17
1.6581E+12,81.29,83.39,79.8,83.39,2022/7/18
1.65819E+12,83.38,84.5,81.15,82.9,2022/7/19
1.65828E+12,82.9,87.1,79.76,83.99,2022/7/20
1.65836E+12,83.99,85.37,82.37,82.38,2022/7/21
1.65845E+12,82.38,84.89,80.01,84.28,2022/7/22
1.65853E+12,84.28,84.44,80.31,80.45,2022/7/23
1.65862E+12,80.45,83.6,79.06,83.17,2022/7/24
1.65871E+12,83.17,83.98,79.81,81.35,2022/7/25
1.65879E+12,81.35,82.87,80.08,81.39,2022/7/26
1.65888E+12,81.39,81.95,74.84,76.49,2022/7/27
1.65897E+12,76.49,77.75,74.09,76.89,2022/7/28
1.65905E+12,76.89,77.69,73.34,75.03,2022/7/29
1.65914E+12,75.03,79.65,74.77,78.55,2022/7/30
1.65923E+12,78.55,79.01,76.68,78.66,2022/7/31
1.65931E+12,78.66,78.66,77.02,77.69,2022/8/1
1.6594E+12,77.69,78.66,76.59,77.79,2022/8/2
1.65948E+12,77.79,78.23,75.05,75.87,2022/8/3
1.65957E+12,75.87,75.87,72.98,73.67,2022/8/4
1.65966E+12,73.67,74.23,70.63,71.85,2022/8/5
1.65974E+12,71.85,72.98,71.34,71.7,2022/8/6
1.65983E+12,71.7,73.6,71.56,73.6,2022/8/7
1.65992E+12,73.6,76.12,72.82,75.17,2022/8/8
1.66E+12,75.17,75.35,73.68,74.67,2022/8/9
1.66009E+12,74.67,75.85,70.87,70.87,2022/8/10
1.66018E+12,70.87,72.97,70.1,71.48,2022/8/11
1.66026E+12,71.48,71.62,69.71,70.27,2022/8/12
1.66035E+12,70.27,71.1,69.38,70.6,2022/8/13
1.66044E+12,70.6,73.14,69.94,70.89,2022/8/14
1.66052E+12,70.89,71.1,68.94,70.2,2022/8/15
1.66061E+12,70.2,71.61,69.76,71.55,2022/8/16
1.66069E+12,71.55,75.42,70.68,75.32,2022/8/17
1.66078E+12,74.09,75.05,73.44,74.82,2022/8/18
1.66087E+12,74.82,82.7,74.76,81.24,2022/8/19
1.66095E+12,81.24,81.57,76.97,77.7,2022/8/20
1.66104E+12,77.7,79.35,76.99,79.02,2022/8/21
1.66113E+12,79.02,80.97,78.42,80.35,2022/8/22
1.66121E+12,80.35,80.47,77.73,77.78,2022/8/23
1.6613E+12,77.78,78.37,73.91,75.59,2022/8/24
1.66139E+12,75.59,75.59,72.66,73.83,2022/8/25
1.66147E+12,73.83,75.64,70.61,72.6,2022/8/26
1.66156E+12,72.6,73.33,69.92,73.03,2022/8/27
1.66164E+12,73.03,76.19,72.46,76.17,2022/8/28
1.66173E+12,76.16,76.92,72.75,73.2,2022/8/29
1.66182E+12,73.2,77.69,71.62,75.78,2022/8/30
1.6619E+12,75.78,76.01,71.17,75.04,2022/8/31
1.66199E+12,75.04,79.91,74.45,77.83,2022/9/1
1.66208E+12,77.83,77.83,72.23,74.66,2022/9/2
1.66216E+12,74.66,78.74,73.43,77.86,2022/9/3
1.66225E+12,77.86,77.86,74.89,76.01,2022/9/4
1.66234E+12,76.01,76.91,74.89,76.88,2022/9/5
1.66242E+12,76.88,81.46,74.97,81.46,2022/9/6
1.66251E+12,81.46,84.32,75.62,76.12,2022/9/7
1.6626E+12,76.12,76.14,74.09,75.72,2022/9/8
1.66268E+12,75.72,77.73,72.02,75.12,2022/9/9
1.66277E+12,75.12,79.03,72.25,78.15,2022/9/10
1.66285E+12,78.15,78.99,75.1,78.91,2022/9/11
1.66294E+12,78.91,79.35,76.34,79.15,2022/9/12
1.66303E+12,79.15,83.44,78.25,81.07,2022/9/13
1.66311E+12,81.07,81.25,76.02,78.19,2022/9/14
1.6632E+12,78.19,79.61,75.28,76.05,2022/9/15
1.66329E+12,76.05,76.54,70.57,70.57,2022/9/16
1.66337E+12,70.57,70.69,68.71,69.14,2022/9/17
1.66346E+12,69.14,75.31,67.57,74.86,2022/9/18
1.66355E+12,74.86,74.86,70.23,70.23,2022/9/19
1.66363E+12,70.23,75.86,70.23,75.86,2022/9/20
1.66372E+12,75.86,78.59,72.77,76.7,2022/9/21
1.6638E+12,76.7,77.43,74.55,74.81,2022/9/22
1.66389E+12,74.81,78.28,73.73,74.23,2022/9/23
1.66398E+12,74.23,74.56,72.19,73.21,2022/9/24
1.66406E+12,73.21,76.29,71.82,75.88,2022/9/25
1.66415E+12,75.88,77.43,74.61,76.71,2022/9/26
1.66424E+12,76.71,79.19,71.29,76.88,2022/9/27
1.66432E+12,76.88,84.19,76.1,79.4,2022/9/28
1.66441E+12,79.4,81.89,77.01,77.52,2022/9/29
1.6645E+12,77.52,77.78,71.6,74.06,2022/9/30
1.66458E+12,74.06,74.07,70.16,72.26,2022/10/1
1.66467E+12,72.26,77.52,71.73,76.42,2022/10/2
1.66476E+12,76.42,76.42,70.06,70.07,2022/10/3
1.66484E+12,70.07,72.06,69.26,69.87,2022/10/4
1.66493E+12,69.87,71.75,69.8,71.16,2022/10/5
