ticks,open,high,low,close,date_time
1636416000000,86.69,87.72,84.33,84.68,2021-11-09
1636502400000,84.68,87.17,84.23,86.36,2021-11-10
1636588800000,86.36,86.5,83.79,85.23,2021-11-11
1636675200000,85.23,89.09,84.14,88.44,2021-11-12
1636761600000,88.44,88.44,85.25,87.74,2021-11-13
1636848000000,87.74,88.15,86.26,87.22,2021-11-14
1636934400000,87.22,87.67,84.6,85.04,2021-11-15
1637020800000,85.04,90.35,85.04,87.28,2021-11-16
1637107200000,87.28,90.05,86.37,89.88,2021-11-17
1637193600000,89.88,93.25,87.15,90.12,2021-11-18
1637280000000,90.12,91.85,85.39,85.78,2021-11-19
1637366400000,85.78,86.81,84.9,85.44,2021-11-20
1637452800000,85.44,86.91,83.67,85.94,2021-11-21
1637539200000,85.94,90.47,85.18,88.98,2021-11-22
1637625600000,88.98,90.19,86.18,89.91,2021-11-23
1637712000000,89.91,91.47,89.26,90.42,2021-11-24
1637798400000,90.42,90.42,86.05,86.52,2021-11-25
1637884800000,86.52,89.93,84.06,86.06,2021-11-26
1637971200000,86.06,86.06,83.03,83.72,2021-11-27
1638057600000,83.72,86.59,81.65,86.32,2021-11-28
1638144000000,86.32,86.52,81.95,82.85,2021-11-29
1638230400000,82.85,86.14,82.74,84.08,2021-11-30
1638316800000,84.08,84.4,81.56,83.64,2021-12-01
1638403200000,83.63,85.27,83.07,85.26,2021-12-02
1638489600000,85.26,85.51,81.21,84.55,2021-12-03
1638576000000,84.55,95.82,83.84,87.29,2021-12-04
1638662400000,87.29,90.56,86.98,89.39,2021-12-05
1638748800000,89.39,89.89,86.63,86.84,2021-12-06
1638835200000,86.84,88.62,85.57,86.0,2021-12-07
1638921600000,86.0,88.43,85.65,87.16,2021-12-08
1639008000000,88.39,90.52,88.34,90.3,2021-12-09
1639094400000,90.3,90.95,89.19,89.98,2021-12-10
1639180800000,89.98,91.18,88.47,88.72,2021-12-11
1639267200000,88.72,93.38,88.55,92.25,2021-12-12
1639353600000,92.25,92.41,89.52,90.29,2021-12-13
1639440000000,90.29,93.23,88.74,92.34,2021-12-14
1639526400000,92.34,92.38,89.19,89.34,2021-12-15
1639612800000,89.34,89.42,85.88,86.78,2021-12-16
1639699200000,86.78,87.26,84.57,85.34,2021-12-17
1639785600000,85.34,87.95,83.81,87.43,2021-12-18
1639872000000,87.43,88.23,84.56,87.83,2021-12-19
1639958400000,87.83,88.53,86.56,87.31,2021-12-20
1640044800000,87.31,88.72,85.06,86.04,2021-12-21
1640131200000,86.04,86.62,82.63,82.99,2021-12-22
1640217600000,82.99,83.5,80.96,82.99,2021-12-23
1640304000000,82.99,83.69,77.14,82.57,2021-12-24
1640390400000,82.57,82.71,77.85,81.08,2021-12-25
1640476800000,81.08,82.01,78.81,80.26,2021-12-26
1640563200000,80.26,83.39,78.51,83.29,2021-12-27
1640649600000,83.29,83.29,76.7,76.7,2021-12-28
1640736000000,76.7,80.9,76.5,80.73,2021-12-29
1640822400000,80.74,81.81,76.61,80.68,2021-12-30
1640908800000,80.68,82.64,74.65,75.51,2021-12-31
1640995200000,75.51,75.51,69.68,70.91,2022-01-01
1641081600000,70.91,72.67,69.07,72.06,2022-01-02
1641168000000,72.06,73.37,70.32,71.94,2022-01-03
1641254400000,71.94,73.49,70.16,72.52,2022-01-04
1641340800000,72.64,78.33,70.95,75.64,2022-01-05
1641427200000,75.64,76.17,72.22,73.19,2022-01-06
1641513600000,73.19,75.22,72.07,73.86,2022-01-07
1641600000000,73.86,73.92,70.97,71.56,2022-01-08
1641686400000,71.56,73.72,70.59,73.5,2022-01-09
1641772800000,73.5,75.83,72.63,74.1,2022-01-10
1641859200000,74.1,77.27,74.08,75.37,2022-01-11
1641945600000,75.37,75.94,70.71,71.81,2022-01-12
1642032000000,71.81,72.13,66.4,67.51,2022-01-13
1642118400000,67.51,67.62,64.15,65.13,2022-01-14
1642204800000,64.19,64.22,62.51,62.95,2022-01-15
1642291200000,62.95,65.58,61.86,62.22,2022-01-16
1642377600000,62.23,66.13,61.91,65.23,2022-01-17
1642464000000,65.23,67.38,63.8,67.27,2022-01-18
1642550400000,67.27,67.69,64.99,65.96,2022-01-19
1642636800000,65.96,65.99,59.41,65.24,2022-01-20
1642723200000,65.24,78.58,63.03,77.8,2022-01-21
1642809600000,77.79,82.31,72.52,81.0,2022-01-22
1642896000000,81.0,81.0,76.56,77.29,2022-01-23
1642982400000,77.29,87.93,76.25,78.59,2022-01-24
1643068800000,78.59,82.57,77.64,81.26,2022-01-25
1643155200000,81.26,82.26,78.66,80.39,2022-01-26
1643241600000,80.39,83.23,77.38,80.14,2022-01-27
1643328000000,80.14,80.28,73.49,74.77,2022-01-28
1643414400000,74.77,75.22,73.22,75.18,2022-01-29
1643500800000,75.18,75.25,71.79,74.32,2022-01-30
1643587200000,74.32,74.52,70.16,70.99,2022-01-31
1643673600000,70.99,71.84,69.59,71.81,2022-02-01
1643760000000,71.81,75.02,71.06,75.0,2022-02-02
1643846400000,75.0,75.03,72.53,74.14,2022-02-03
1643932800000,74.14,74.39,68.89,70.14,2022-02-04
1644019200000,70.15,71.9,62.85,67.37,2022-02-05
1644105600000,67.37,70.87,67.09,70.69,2022-02-06
1644192000000,70.69,72.27,69.14,69.18,2022-02-07
1644278400000,69.18,71.78,68.73,70.27,2022-02-08
1644364800000,70.27,71.02,69.64,69.81,2022-02-09
1644451200000,69.81,70.87,68.07,70.81,2022-02-10
1644537600000,70.81,73.37,66.71,72.34,2022-02-11
1644624000000,72.34,73.34,71.32,71.32,2022-02-12
1644710400000,71.32,73.05,70.52,73.05,2022-02-13
1644796800000,73.05,73.45,70.83,72.16,2022-02-14
