ticks,volume,cost,status,open,low,high,close,date_time
1.6365E+12,16622.40249,1100709010,ok,67000,62755,69140,64911.5,2021/11/10 0:00
1.63659E+12,6827.679008,443264080,ok,64908,64152.5,65650,64825.5,2021/11/11 0:00
1.63668E+12,12414.23774,792799480,ok,64824,62290,65522,64145,2021/11/12 0:00
1.63676E+12,3638.391781,233240320,ok,64144.5,63399,65003,64417.5,2021/11/13 0:00
1.63685E+12,5373.048368,346537620,ok,64409.5,63585,65561.5,65548,2021/11/14 0:00
1.63693E+12,9356.795979,606849720,ok,65552,63410,66417.5,63585,2021/11/15 0:00
1.63702E+12,22235.00684,1352397070,ok,63582.5,58596,63592.5,60090,2021/11/16 0:00
1.63711E+12,9665.492193,577950930,ok,60090,58380,60828,60371,2021/11/17 0:00
1.63719E+12,17750.63736,1037510880,ok,60355.5,56487.5,60998.5,56889.5,2021/11/18 0:00
1.63728E+12,11415.17254,650810350,ok,56905,55617.5,58361.5,58065,2021/11/19 0:00
1.63737E+12,4839.971755,284114560,ok,58073.5,57410,59878.5,59699.5,2021/11/20 0:00
1.63745E+12,3849.032138,227924540,ok,59744.5,58540.5,60074,58650,2021/11/21 0:00
1.63754E+12,17859.86858,1024974980,ok,58650,55603.5,59549,56273.5,2021/11/22 0:00
1.63763E+12,13611.24287,773422910,ok,56265,55311,57895,57548,2021/11/23 0:00
1.63771E+12,11113.8698,630030350,ok,57567,55666.5,57771,57180,2021/11/24 0:00
1.6378E+12,8682.016378,506031810,ok,57180,57043,59460,58976,2021/11/25 0:00
1.63788E+12,20428.57427,1132314810,ok,59003,53515,59217,53784,2021/11/26 0:00
1.63797E+12,5835.775949,318856700,ok,53777,53644.5,55315,54774.5,2021/11/27 0:00
1.63806E+12,9121.709755,502628160,ok,54758,53287,57498.5,57336,2021/11/28 0:00
1.63814E+12,9205.335196,531078940,ok,57357,56764,58900,57836.5,2021/11/29 0:00
1.63823E+12,15467.29573,889451540,ok,57836.5,55950,59330,56995.5,2021/11/30 0:00
1.63832E+12,9950.978848,572114870,ok,56995.5,56500,59109,57206,2021/12/1 0:00
1.6384E+12,10105.33993,572685180,ok,57206.5,55830,57400,56541.5,2021/12/2 0:00
1.63849E+12,18066.5628,993067650,ok,56541.5,51403,57689.5,53637.5,2021/12/3 0:00
1.63858E+12,34300.7684,1641406410,ok,53629,39997,53873.5,49216.5,2021/12/4 0:00
1.63866E+12,13393.4991,657067230,ok,49214,47817.5,49777.5,49453.5,2021/12/5 0:00
1.63875E+12,18093.12547,882585640,ok,49455.5,47150,50969,50540,2021/12/6 0:00
1.63884E+12,13161.21229,672696580,ok,50526,50095,52006.5,50640.5,2021/12/7 0:00
1.63892E+12,10677.98801,535368700,ok,50650,48690,51270,50525,2021/12/8 0:00
1.63901E+12,12324.64216,600589050,ok,50542,47348,50837,47600.5,2021/12/9 0:00
1.63909E+12,17726.26319,855136080,ok,47587.5,46916,50168,47182,2021/12/10 0:00
1.63918E+12,7870.298837,380908260,ok,47176,46800,49557,49438.5,2021/12/11 0:00
1.63927E+12,7039.394883,350205160,ok,49443,48669.5,50800,50141.5,2021/12/12 0:00
1.63935E+12,15749.75871,748673720,ok,50127.5,45737,50253.5,46734.5,2021/12/13 0:00
1.63944E+12,10662.48774,504384250,ok,46739.5,46304,48698,48380.5,2021/12/14 0:00
1.63953E+12,16046.07192,772642060,ok,48377,46590.5,49559,48912.5,2021/12/15 0:00
1.63961E+12,8301.703951,402919950,ok,48922,47535.5,49464,47655.5,2021/12/16 0:00
1.6397E+12,14709.77598,686353990,ok,47658,45450,48032.5,46137.5,2021/12/17 0:00
1.63979E+12,6819.165302,317285970,ok,46132.5,45504,47361,46856.5,2021/12/18 0:00
1.63987E+12,6247.271749,295866760,ok,46841.5,46439.5,48320,46696,2021/12/19 0:00
1.63996E+12,8388.57655,389454620,ok,46690,45590.5,47576.5,46915,2021/12/20 0:00
1.64004E+12,9453.121619,458283560,ok,46933.5,46666,49372,48929,2021/12/21 0:00
1.64013E+12,5159.308896,252849510,ok,48923,48474.5,49642,48623,2021/12/22 0:00
1.64022E+12,7943.908073,393468510,ok,48623.5,48067.5,51385,50853.5,2021/12/23 0:00
1.6403E+12,7483.246448,382703910,ok,50854,50446.5,51961.5,50860,2021/12/24 0:00
1.64039E+12,4897.224722,248754870,ok,50865,50151.5,51227,50439.5,2021/12/25 0:00
1.64048E+12,6189.583056,310921780,ok,50440,49409,51347,50820,2021/12/26 0:00
1.64056E+12,7537.807774,385800010,ok,50828,50470,52194,50746.5,2021/12/27 0:00
1.64065E+12,15709.50971,769532200,ok,50743,47322,50743.5,47577,2021/12/28 0:00
1.64074E+12,11890.01965,563207860,ok,47577,46091.5,48175.5,46481.5,2021/12/29 0:00
1.64082E+12,9553.92464,450215450,ok,46481.5,45892.5,47938.5,47153.5,2021/12/30 0:00
1.64091E+12,15953.59983,753647410,ok,47153,45620,48620,46234,2021/12/31 0:00
1.641E+12,4567.331655,215711740,ok,46244,46232,47974,47771.5,2022/1/1 0:00
1.64108E+12,4346.601722,205703870,ok,47770.5,46664,48044.5,47325,2022/1/2 0:00
1.64117E+12,7799.061557,363651490,ok,47319.5,45689,47614.5,46474.5,2022/1/3 0:00
1.64125E+12,9571.216997,445002100,ok,46484,45550,47574,45850.5,2022/1/4 0:00
1.64134E+12,20398.39728,918174900,ok,45850.5,42422,47099.5,43464.5,2022/1/5 0:00
1.64143E+12,13292.76574,571756690,ok,43473.5,42327,43798.5,43113,2022/1/6 0:00
1.64151E+12,21225.19781,888432070,ok,43109,40598.5,43171.5,41557.5,2022/1/7 0:00
1.6416E+12,9069.659645,376527360,ok,41567.5,40547.5,42325,41707,2022/1/8 0:00
1.64169E+12,6396.792504,268545910,ok,41710,41225.5,42800,41888,2022/1/9 0:00
1.64177E+12,20082.14882,825795490,ok,41882.5,39650,42274,41832,2022/1/10 0:00
1.64186E+12,13117.88339,554129160,ok,41835,41284,43123,42725,2022/1/11 0:00
1.64195E+12,9744.417801,423203030,ok,42727,42454.5,44400,43900,2022/1/12 0:00
1.64203E+12,9355.600366,405534830,ok,43908,42312.5,44439.5,42575,2022/1/13 0:00
1.64212E+12,10962.4942,467253970,ok,42573.5,41739,43469.5,43075,2022/1/14 0:00
1.6422E+12,3883.472858,167528590,ok,43072.5,42572,43820,43079,2022/1/15 0:00
1.64229E+12,4173.027791,179731020,ok,43079,42623,43499.5,43079.5,2022/1/16 0:00
1.64238E+12,7815.910187,330927930,ok,43079,41554,43187,42206,2022/1/17 0:00
1.64246E+12,8276.085048,346531680,ok,42201.5,41286.5,42717.5,42366.5,2022/1/18 0:00
1.64255E+12,10840.30167,454175190,ok,42358.5,41139.5,42589,41677,2022/1/19 0:00
1.64264E+12,10971.18553,463135330,ok,41675,40553.5,43529.5,40651,2022/1/20 0:00
1.64272E+12,27914.18595,1067507930,ok,40663,35421.5,41102.5,36457,2022/1/21 0:00
1.64281E+12,23963.82513,846950880,ok,36442,34000,36816,35069.5,2022/1/22 0:00
1.6429E+12,14889.2486,530087240,ok,35064,34618.5,36565,36267.5,2022/1/23 0:00
1.64298E+12,32466.8875,1128415460,ok,36252,32925,37571,36697.5,2022/1/24 0:00
1.64307E+12,13489.23715,493536310,ok,36695,35718,37600,36961.5,2022/1/25 0:00
1.64316E+12,21241.80552,800951260,ok,36967.5,36276,38918,36840,2022/1/26 0:00
1.64324E+12,15010.34297,545310650,ok,36840,35514,37238.5,37200,2022/1/27 0:00
1.64333E+12,14381.11312,532870310,ok,37184,36170.5,38023,37708.5,2022/1/28 0:00
1.64341E+12,8745.144868,331791360,ok,37703,37299,38748,38166,2022/1/29 0:00
1.6435E+12,5368.948979,203707300,ok,38184,37352,38391.5,37907,2022/1/30 0:00
1.64359E+12,9629.511784,363771580,ok,37906.5,36641,38778,38499,2022/1/31 0:00
1.64367E+12,10530.4376,406962390,ok,38489,38014.5,39300,38728,2022/2/1 0:00
1.64376E+12,11499.64918,434064550,ok,38725,36588,38883.5,36929.5,2022/2/2 0:00
1.64385E+12,10001.82416,367736900,ok,36927,36264.5,37414.5,37347.5,2022/2/3 0:00
1.64393E+12,21101.57085,824871280,ok,37345.5,37045,41768.5,41585.5,2022/2/4 0:00
1.64402E+12,9707.292703,402882260,ok,41585.5,40966,41930,41391,2022/2/5 0:00
1.64411E+12,8573.555297,358211930,ok,41402,41149.5,42700.5,42404.5,2022/2/6 0:00
1.64419E+12,16394.30417,708254720,ok,42407.5,41677.5,44540,43840.5,2022/2/7 0:00
1.64428E+12,19687.10626,865824890,ok,43851,42713,45523.5,44061,2022/2/8 0:00
1.64436E+12,11332.37886,498006200,ok,44061,43155.5,44847.5,44402,2022/2/9 0:00
1.64445E+12,21624.55472,962070760,ok,44402.5,43220,45854.5,43511,2022/2/10 0:00
1.64454E+12,18536.16599,799317700,ok,43507.5,41960,43957.5,42397.5,2022/2/11 0:00
1.64462E+12,7543.588097,319051790,ok,42390,41730,43117,42209,2022/2/12 0:00
1.64471E+12,4688.50931,198574610,ok,42234.5,41881,42779,42071,2022/2/13 0:00
1.6448E+12,9041.42239,382292160,ok,42067.5,41559,42849,42546.5,2022/2/14 0:00
1.64488E+12,11679.0331,513969740,ok,42556,42431,44794.5,44564.5,2022/2/15 0:00
1.64497E+12,9348.113071,411235090,ok,44567,43316,44575,43901.5,2022/2/16 0:00
1.64506E+12,15316.34617,648146250,ok,43909.5,40083,44180,40554,2022/2/17 0:00
1.64514E+12,11817.81292,475774260,ok,40543.5,39420,40986.5,40010,2022/2/18 0:00
1.64523E+12,4876.460284,195359940,ok,40002,39662,40460.5,40102,2022/2/19 0:00
1.64532E+12,10622.95084,412062660,ok,40099,37997,40132,38396.5,2022/2/20 0:00
1.6454E+12,21243.06909,811518410,ok,38394,36824,39540,37031.5,2022/2/21 0:00
1.64549E+12,16652.6955,624185430,ok,37028,36317,38484.5,38268,2022/2/22 0:00
1.64557E+12,11992.71613,459112080,ok,38258.5,37069.5,39268,37270.5,2022/2/23 0:00
1.64566E+12,37564.06308,1358804400,ok,37278.5,34321.5,39900,38346.5,2022/2/24 0:00
1.64575E+12,14515.9571,564501360,ok,38354.5,38038,39711,39238,2022/2/25 0:00
1.64583E+12,7832.194348,307984720,ok,39238,38592.5,40334.5,39133.5,2022/2/26 0:00
1.64592E+12,11663.0059,447936300,ok,39133.5,36985.5,39875,37712.5,2022/2/27 0:00
1.64601E+12,21388.04269,867031310,ok,37713,37462.5,44230,43164.5,2022/2/28 0:00
1.64609E+12,14251.65241,624157910,ok,43180.5,42830,44966,44446,2022/3/1 0:00
1.64618E+12,14587.58288,644804540,ok,44446,43355,45341.5,43930,2022/3/2 0:00
1.64627E+12,11969.81826,513934960,ok,43916,41824,44106.5,42479,2022/3/3 0:00
1.64635E+12,17686.35969,721765670,ok,42466.5,38571,42537.5,39136,2022/3/4 0:00
1.64644E+12,5118.740279,200203120,ok,39143.5,38592.5,39605,39392,2022/3/5 0:00
1.64652E+12,7992.677335,310729050,ok,39385.5,38102,39721,38416.5,2022/3/6 0:00
1.64661E+12,15926.34817,608495980,ok,38415.5,37160.5,39552.5,38008.5,2022/3/7 0:00
1.6467E+12,14953.15831,578184190,ok,37989.5,37865.5,39374.5,38742.5,2022/3/8 0:00
1.64678E+12,16129.89555,669161780,ok,38740,38660.5,42596.5,41960,2022/3/9 0:00
1.64687E+12,19714.16355,780519310,ok,41967,38543,42048.5,39425.5,2022/3/10 0:00
1.64696E+12,12976.22603,506556840,ok,39425.5,38243,40261,38735.5,2022/3/11 0:00
1.64704E+12,3293.839029,128720000,ok,38727.5,38661,39475,38798.5,2022/3/12 0:00
1.64713E+12,6271.800989,241896350,ok,38805,37580,39319.5,37777,2022/3/13 0:00
1.64722E+12,10275.31633,399398120,ok,37782,37521.5,39941,39700.5,2022/3/14 0:00
